frame,ID,car_type,x1,y1,x2,y2,center_x,center_y,front_x,front_y,back_x,back_y,width,height,lane
7.2,1, white car,193.03,466.5,218.88,479.86,205.96,473.18,193.03,473.18,218.88,473.18,25.85,13.37,3
7.23,1, white car,192.97,466.49,218.7,479.81,205.83,473.15,192.97,473.15,218.7,473.15,25.73,13.32,3
7.27,1, white car,192.96,466.47,218.61,479.78,205.79,473.13,192.96,473.13,218.61,473.13,25.65,13.3,3
7.3,1, white car,193.05,466.51,218.52,479.74,205.78,473.12,193.05,473.12,218.52,473.12,25.46,13.23,3
7.33,1, white car,193.01,466.53,218.31,479.67,205.66,473.1,193.01,473.1,218.31,473.1,25.3,13.14,3
7.37,1, white car,192.99,466.54,218.24,479.66,205.62,473.1,192.99,473.1,218.24,473.1,25.25,13.12,3
7.4,1, white car,192.92,466.47,218.09,479.55,205.5,473.01,192.92,473.01,218.09,473.01,25.17,13.08,3
7.43,1, white car,192.92,466.46,218.0,479.5,205.46,472.98,192.92,472.98,218.0,472.98,25.08,13.04,3
7.47,1, white car,193.0,466.51,218.06,479.53,205.53,473.02,193.0,473.02,218.06,473.02,25.05,13.02,3
7.5,1, white car,192.99,466.52,218.06,479.55,205.52,473.03,192.99,473.03,218.06,473.03,25.07,13.02,3
7.53,1, white car,192.88,466.52,217.98,479.54,205.43,473.03,192.88,473.03,217.98,473.03,25.1,13.02,3
7.57,1, white car,192.98,466.59,218.07,479.6,205.53,473.09,192.98,473.09,218.07,473.09,25.09,13.01,3
7.6,1, white car,192.94,466.57,218.09,479.61,205.51,473.09,192.94,473.09,218.09,473.09,25.15,13.04,3
7.63,1, white car,192.93,466.56,218.13,479.62,205.53,473.09,192.93,473.09,218.13,473.09,25.2,13.05,3
7.67,1, white car,192.92,466.56,218.23,479.67,205.57,473.12,192.92,473.12,218.23,473.12,25.31,13.11,3
7.7,1, white car,192.92,466.56,218.31,479.71,205.61,473.14,192.92,473.14,218.31,473.14,25.39,13.15,3
7.73,1, white car,192.9,466.56,218.35,479.73,205.63,473.14,192.9,473.14,218.35,473.14,25.44,13.18,3
7.77,1, white car,192.98,466.58,218.41,479.74,205.69,473.16,192.98,473.16,218.41,473.16,25.43,13.16,3
7.8,1, white car,193.12,466.65,218.44,479.75,205.78,473.2,193.12,473.2,218.44,473.2,25.32,13.1,3
7.83,1, white car,193.29,466.67,218.56,479.73,205.92,473.2,193.29,473.2,218.56,473.2,25.28,13.06,3
7.87,1, white car,193.32,466.66,218.65,479.74,205.99,473.2,193.32,473.2,218.65,473.2,25.33,13.07,3
